CId,SId,Year,Cost,Num
20,3190,2010,2000000,12
21,3192,2010,1500000,8
10,3193,2010,1500000,8
25,3210,2010,1500000,8
11,3214,2010,1500000,8
19,3218,2010,2000000,12
30,3222,2010,2000000,12
20,3223,2010,2000000,12
8,3226,2010,2000000,12
5,3229,2010,1500000,8
18,3231,2010,1500000,8
5,3237,2010,1500000,8
26,3240,2010,1800000,10
7,3242,2010,2000000,12
30,3243,2010,2000000,12
1,3262,2010,1800000,10
1,3263,2010,1800000,10
7,3267,2010,2000000,12
27,3272,2010,2000000,12
19,3274,2010,2000000,12
12,3275,2010,1800000,10
5,3285,2010,1500000,8
10,3289,2010,1500000,8
11,3296,2010,1500000,8
14,3303,2010,1500000,8
25,3311,2010,1500000,8
2,3312,2010,2000000,12
13,3317,2010,1800000,10
6,3319,2010,1500000,8
9,3343,2010,1800000,10
16,3348,2010,2000000,12
25,3350,2010,1500000,8
21,3356,2010,1500000,8
4,3357,2010,2000000,12
9,3365,2010,1800000,10
2,3370,2010,2000000,12
6,3379,2010,1500000,8
9,3380,2010,1800000,10
24,3382,2010,1500000,8
23,3383,2010,1800000,10
14,3384,2010,1500000,8
7,3390,2010,2000000,12
21,3392,2010,1500000,8
15,3394,2010,2000000,12
11,3402,2010,1500000,8
30,3403,2010,2000000,12
22,3407,2010,1800000,10
19,3408,2010,2000000,12
28,3419,2010,1500000,8
26,3421,2010,1800000,10
8,3427,2010,2000000,12
9,3429,2010,1800000,10
16,3430,2010,2000000,12
19,3441,2010,2000000,12
24,3445,2010,1500000,8
18,3448,2010,1500000,8
8,3451,2010,2000000,12
17,3456,2010,2000000,12
15,3460,2010,2000000,12
9,3461,2010,1800000,10
13,3470,2010,1800000,10
29,3473,2010,2000000,12
24,3478,2010,1500000,8
11,3480,2010,1500000,8
1,3486,2010,1800000,10
23,3492,2010,1800000,10
15,3497,2010,2000000,12
21,3499,2010,1500000,8
13,3502,2010,1800000,10
14,3504,2010,1500000,8
29,3518,2010,2000000,12
24,3523,2010,1500000,8
18,3527,2010,1500000,8
25,3535,2010,1500000,8
27,3537,2010,2000000,12
5,3545,2010,1500000,8
9,3547,2010,1800000,10
26,3549,2010,1800000,10
4,3551,2010,2000000,12
5,3555,2010,1500000,8
29,3556,2010,2000000,12
25,3561,2010,1500000,8
5,3562,2010,1500000,8
8,3568,2010,2000000,12
21,3569,2010,1500000,8
16,3572,2010,2000000,12
29,3574,2010,2000000,12
7,3593,2010,2000000,12
12,3595,2010,1800000,10
27,3598,2010,2000000,12
25,3600,2010,1500000,8
29,3608,2010,2000000,12
23,3609,2010,1800000,10
27,3612,2010,2000000,12
14,3622,2010,1500000,8
24,3630,2010,1500000,8
21,3632,2010,1500000,8
1,3633,2010,1800000,10
25,3634,2010,1500000,8
29,3635,2010,2000000,12
27,3637,2010,2000000,12
9,3645,2010,1800000,10
6,3649,2010,1500000,8
5,3652,2010,1500000,8
8,3654,2010,2000000,12
17,3659,2010,2000000,12
2,3661,2010,2000000,12
14,3666,2010,1500000,8
14,3671,2010,1500000,8
26,3677,2010,1800000,10
5,3683,2010,1500000,8
1,3689,2010,1800000,10
8,3692,2010,2000000,12
19,3697,2010,2000000,12
29,3700,2010,2000000,12
22,3703,2010,1800000,10
2,3709,2010,2000000,12
11,3711,2010,1500000,8
1,3714,2010,1800000,10
27,3719,2010,2000000,12
23,3722,2010,1800000,10
12,3727,2010,1800000,10
28,3734,2010,1500000,8
9,3735,2010,1800000,10
3,3736,2010,1500000,8
23,3738,2010,1800000,10
19,3745,2010,2000000,12
15,3750,2010,2000000,12
3,3751,2010,1500000,8
13,3752,2010,1800000,10
15,3761,2010,2000000,12
28,3764,2010,1500000,8
3,3773,2010,1500000,8
25,3775,2010,1500000,8
27,3783,2010,2000000,12
13,3784,2010,1800000,10
15,3785,2010,2000000,12
26,3787,2010,1800000,10
11,3789,2010,1500000,8
18,3792,2010,1500000,8
8,3793,2010,2000000,12
28,3796,2010,1500000,8
4,3802,2010,2000000,12
3,3807,2010,1500000,8
9,3809,2010,1800000,10
13,3819,2010,1800000,10
30,3820,2010,2000000,12
21,3839,2010,1500000,8
17,3840,2010,2000000,12
26,3843,2010,1800000,10
24,3853,2010,1500000,8
23,3861,2010,1800000,10
16,3865,2010,2000000,12
10,3868,2010,1500000,8
22,3871,2010,1800000,10
12,3874,2010,1800000,10
22,3880,2010,1800000,10
15,3895,2010,2000000,12
17,3896,2010,2000000,12
19,3901,2010,2000000,12
4,3911,2010,2000000,12
26,3917,2010,1800000,10
5,3929,2010,1500000,8
15,3941,2010,2000000,12
24,3942,2010,1500000,8
12,3943,2010,1800000,10
17,3949,2010,2000000,12
5,3960,2010,1500000,8
11,3981,2010,1500000,8
2,3982,2010,2000000,12
28,3984,2010,1500000,8
17,3985,2010,2000000,12
4,3986,2010,2000000,12
7,4005,2010,2000000,12
27,4006,2010,2000000,12
16,4009,2010,2000000,12
12,4020,2010,1800000,10
2,4024,2010,2000000,12
11,4032,2010,1500000,8
19,4033,2010,2000000,12
6,4039,2010,1500000,8
18,4045,2010,1500000,8
30,4047,2010,2000000,12
9,4054,2010,1800000,10
30,4065,2010,2000000,12
3,4074,2010,1500000,8
8,4078,2010,2000000,12
17,4085,2010,2000000,12
25,4092,2010,1500000,8
6,9,2011,1800000,10
6,10,2011,1800000,10
8,14,2011,1800000,10
8,15,2011,1800000,10
15,17,2011,1800000,10
29,25,2011,2000000,12
27,26,2011,1800000,10
7,32,2011,1800000,10
26,36,2011,1500000,8
16,37,2011,2000000,12
18,40,2011,1500000,8
12,51,2011,1800000,10
1,56,2011,2000000,12
10,63,2011,1800000,10
25,65,2011,2000000,12
20,73,2011,1500000,8
21,74,2011,1800000,10
23,80,2011,1800000,10
1,84,2011,2000000,12
30,85,2011,2000000,12
29,91,2011,2000000,12
17,95,2011,1800000,10
4,99,2011,1500000,8
10,100,2011,1800000,10
9,111,2011,1800000,10
3,114,2011,1500000,8
22,121,2011,1800000,10
14,129,2011,2000000,12
5,131,2011,1500000,8
15,134,2011,1800000,10
7,140,2011,1800000,10
23,142,2011,1800000,10
19,154,2011,1500000,8
3,158,2011,1500000,8
15,163,2011,1800000,10
26,164,2011,1500000,8
12,165,2011,1800000,10
4,168,2011,1500000,8
25,171,2011,2000000,12
13,174,2011,1500000,8
28,176,2011,1500000,8
8,179,2011,1800000,10
20,189,2011,1500000,8
15,191,2011,1800000,10
4,194,2011,1500000,8
10,196,2011,1800000,10
11,200,2011,2000000,12
20,202,2011,1500000,8
14,203,2011,2000000,12
25,219,2011,2000000,12
16,239,2011,2000000,12
30,243,2011,2000000,12
17,245,2011,1800000,10
10,249,2011,1800000,10
5,259,2011,1500000,8
24,261,2011,2000000,12
4,262,2011,1500000,8
13,264,2011,1500000,8
19,271,2011,1500000,8
15,278,2011,1800000,10
16,280,2011,2000000,12
24,289,2011,2000000,12
18,290,2011,1500000,8
21,292,2011,1800000,10
17,296,2011,1800000,10
17,298,2011,1800000,10
25,307,2011,2000000,12
9,308,2011,1800000,10
4,311,2011,1500000,8
14,315,2011,2000000,12
24,321,2011,2000000,12
30,329,2011,2000000,12
23,337,2011,1800000,10
13,340,2011,1500000,8
19,341,2011,1500000,8
30,347,2011,2000000,12
23,349,2011,1800000,10
27,354,2011,1800000,10
27,359,2011,1800000,10
17,361,2011,1800000,10
2,365,2011,1800000,10
8,369,2011,1800000,10
10,373,2011,1800000,10
18,376,2011,1500000,8
9,380,2011,1800000,10
6,389,2011,1800000,10
30,392,2011,2000000,12
22,396,2011,1800000,10
2,399,2011,1800000,10
7,402,2011,1800000,10
25,403,2011,2000000,12
15,408,2011,1800000,10
8,410,2011,1800000,10
7,411,2011,1800000,10
7,415,2011,1800000,10
26,417,2011,1500000,8
25,429,2011,2000000,12
8,434,2011,1800000,10
29,447,2011,2000000,12
30,452,2011,2000000,12
6,453,2011,1800000,10
3,458,2011,1500000,8
11,460,2011,2000000,12
24,461,2011,2000000,12
8,464,2011,1800000,10
18,471,2011,1500000,8
2,480,2011,1800000,10
4,484,2011,1500000,8
30,490,2011,2000000,12
19,491,2011,1500000,8
20,496,2011,1500000,8
27,506,2011,1800000,10
13,508,2011,1500000,8
26,516,2011,1500000,8
11,519,2011,2000000,12
15,521,2011,1800000,10
21,527,2011,1800000,10
6,528,2011,1800000,10
25,534,2011,2000000,12
16,535,2011,2000000,12
20,536,2011,1500000,8
5,544,2011,1500000,8
